ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.483,63.081,10.19754982,2.659188987,2054.939895,0.71,0.383312051,0.540119661,0.5984768211920529,18.689607116748345,19.091165015370866,27.50606918,45.36517,23.15622959526923,0.671,-0.4639265603993466,-4.45604079453063,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.595,62.1438,12.1721,5.417390823,6381.521946,0.903,0.565997442,0.62689161,0.41,31.16753357,31.09243697,30.45383072,34.17144,28.87733,0.537,-1.3060703810702006,-2.823866130634918,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.806,79.1838,14.69561958,11.09698316,13302.70596,0.997,0.804057405,0.806772917,0.72,10.55449877,10.66997519,6.151076317,12.33344,13.17898,0.164,1.3672043733148662,1.346944922438408,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.872,82.9923,13.30023874,10.5554463,53483.30663,0.9447674418604652,0.7041292438197674,0.7394420210523257,0.5984768211920529,18.689607116748345,19.091165015370866,5.1615839,10.00815435,23.15622959526923,0.3517823529411764,-0.9619843183604682,2.3105777908509646,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.909,79.6274,15.01912022,12.48400021,67195.09523,0.948,0.870227528,0.917537308,0.5984768211920529,18.689607116748345,19.091165015370866,4.916705608,12.63435527,23.15622959526923,0.103,2.044569677383384,2.807997371110305,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.85,76.9994,17.65617943,11.10470009,21924.73119,1.0,0.843561297,0.843566289,0.732,13.39046178,13.88235294,7.813666344,5.95181,26.405909,0.315,-0.3233676092586864,2.3097543234620144,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.771,75.0645,13.06861019,11.23515987,12933.83405,0.987,0.76234964,0.77218004,0.697,9.396357343,9.597924773,7.815752029,2.93495,17.43837,0.26,1.1365308900409774,0.8982260225714706,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.798,78.5112,14.27885251,9.293740746,19857.12506,0.9447674418604652,0.7041292438197674,0.7394420210523257,0.5984768211920529,18.689607116748345,19.091165015370866,5.198716164,18.396400748918605,23.15622959526923,0.3517823529411764,0.1426557831094256,0.7117571325235276,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.941,83.3871,20.5092392,12.55362034,47487.64407,0.976,0.928982452,0.951575852,0.865,7.869846953,8.076514346,3.426970959,3.056569899,17.126,0.092,0.802055510131958,4.327809190804207,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.917,81.6862,16.06674957,12.20790482,54587.74445,0.966,0.898756304,0.930775932,0.856,6.480915127,6.652126499,3.131075382,2.91745,13.39422,0.061,1.4902759468067908,3.42084487199994,Europe,9015361
