ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.488,63.5645,10.26384398,2.756953288,2097.88945,0.712,0.388959737,0.546080741,0.6030392156862744,18.505630178908497,18.92648670786928,27.02128983,45.36517,23.1183956571465,0.665,-0.7566191411721883,-4.423008874751554,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.595,62.4484,12.1721,5.417390823,6082.746624,0.902,0.564745073,0.626408292,0.41,30.92797058,31.09243697,29.73514175,34.17144,28.87733,0.537,0.0105992115815166,-3.1385688889419665,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.81,79.2825,14.81892014,11.28645502,13485.31124,1.002,0.810746594,0.809463416,0.724,10.58933697,10.61728395,6.255590916,12.33344,13.17898,0.156,-0.551431829619373,1.7953440627557675,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.873,83.0039,13.30023874,10.55511952,54465.0474,0.9470058139534882,0.7085597631569768,0.7427146424302326,0.6030392156862744,18.505630178908497,18.92648670786928,5.153373718,10.00815435,23.1183956571465,0.3469176470588235,-1.386205185060886,2.003383500675141,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.92,79.7262,15.69414043,12.69402981,68590.90094,0.955,0.880978723,0.922682368,0.6030392156862744,18.505630178908497,18.92648670786928,4.800524712,12.63435527,23.1183956571465,0.056,-0.6451189263039143,3.541488013683576,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.852,77.2845,17.8748703,11.14726927,21197.74104,1.0,0.844341605,0.844422433,0.729,13.83860578,14.43661972,7.628760338,5.78729,28.099767,0.306,1.4144523118371513,1.9331659428371428,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.778,75.4386,13.10608959,11.2827301,13847.90825,0.993,0.771294977,0.777041746,0.704,9.28958349,9.511568123,7.49543047,2.93495,17.43837,0.239,-0.6229668996099927,1.2843663800633518,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.8,78.6912,14.18462641,9.293740746,20600.95888,0.9470058139534882,0.7085597631569768,0.7427146424302326,0.6030392156862744,18.505630178908497,18.92648670786928,5.049022675,18.212992962971263,23.1183956571465,0.3469176470588235,0.5775455641576809,0.6672528508839924,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.941,83.11,21.57801056,12.65668964,47312.192,0.969,0.924557207,0.953887077,0.864,7.887965016,8.182784272,3.48132515,3.056569899,17.126,0.08,1.3323253772577377,4.370357594980645,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.919,81.9077,16.00795937,12.25669003,55323.03915,0.968,0.901549302,0.93155859,0.857,6.552980083,6.746463547,3.34727025,2.91745,13.39422,0.054,-0.0246787271470334,3.70989937908273,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.761,73.1023,13.47167015,10.5429697,13838.46183,0.956,0.74172468,0.775850531,0.698,8.21730195,8.278580815,12.22784424,3.56506161,8.859,0.314,-1.5524458741447225,1.1811525116467003,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.431,62.3514,10.72272189,3.129266883,753.9089436,0.937,0.417078095,0.445028285,0.303,29.13949535,29.69837587,27.00094604,39.48821,20.92933,0.507,-1.0884530041333933,-4.373001605274998,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.936,81.8311,19.60421944,12.37567997,52434.09838,0.975,0.923613553,0.947147046,0.865,7.618844901,7.585470085,3.674114704,8.18013,11.00229,0.048,0.5457102767534079,4.222110085893002,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.53,60.4537,11.22864723,4.304786445,3254.245627,0.877,0.49541061,0.564827142,0.335,36.5884051,36.79245283,34.0973053,43.69355,31.97436,0.61,0.2210800352171271,-4.361307810094064,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.452,60.0391,9.262040138,2.114962259,2055.318806,0.902,0.427516475,0.474048839,0.315,29.79744916,30.30973451,32.9278183,39.15279412,17.31173505,0.585,-1.6256835486057872,-4.726043093815802,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.644,72.8057,12.23883533,6.549980164,4964.471473,0.9,0.603359726,0.67008474,0.489,23.43605662,24.06832298,16.43984985,37.31177,16.55655,0.531,-1.0682430669727785,-1.6352432700915651,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.81,75.0624,13.89729023,11.35635344,22731.96643,0.994,0.806654144,0.81124873,0.718,11.03607555,11.35802469,5.390096664,6.09875,21.61938,0.205,-0.0088682613316642,1.5241965368308912,Europe,6939018
