ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.456,61.4191,9.278809547,2.157332242,1999.653042,0.642,0.33352807,0.519746648,0.315,29.49569394,30.92105263,32.89670181,44.82338,10.767,0.746,-4.41683708078977,1.617792119392234,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.526,57.5961,9.560079575,3.86911836,6885.53639,0.826,0.474194963,0.573985138,0.5610944881889762,20.33897028741732,20.759962688393703,38.03870392,19.99182290426,28.94534,0.544,-3.286612068608449,-1.1207390538775968,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.766,78.0919,13.74845028,9.801699638,11056.64517,0.964,0.751776751,0.779565977,0.669,12.62466625,12.66318538,7.64303875,11.9,18.33096,0.252,1.3254683464183596,0.8097083858928944,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.849,82.8975,11.67192,10.55810738,48812.02903,0.9328421052631576,0.6708890898187134,0.7122762371695907,0.5610944881889762,20.33897028741732,20.759962688393703,5.215367794,15.1603022,23.99892281564085,0.3939101796407186,2.1573630134631387,-1.4731470883173647,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.84,78.5168,12.82703864,10.00180166,56152.06467,0.919,0.788355311,0.857468966,0.5610944881889762,20.33897028741732,20.759962688393703,5.720531464,19.99182290426,23.99892281564085,0.181,2.716371555733235,-1.0511594740442805,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.841,76.124,17.17383003,10.69979,23944.3551,0.991,0.833035901,0.840203081,0.714,14.64529483,15.10107015,9.399137497,6.8309,27.705847,0.362,2.503982090506552,-0.0520085451477054,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.75,73.3045,13.12232971,11.19454956,10072.89566,0.98,0.738963269,0.753674372,0.678,9.48634286,9.6,10.51966858,3.685,14.25436,0.342,1.149165478384628,1.674527960201982,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.783,77.1038,14.69311047,8.99,16539.63424,0.9328421052631576,0.6708890898187134,0.7122762371695907,0.5610944881889762,20.33897028741732,20.759962688393703,6.621734619,19.99182290426,23.99892281564085,0.3939101796407186,0.8907178144676162,0.0903766627946355,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.926,82.1336,22.47087818,12.11583996,44205.31566,0.964,0.907054658,0.940586804,0.85,8.025705552,8.207343413,3.899295568,2.477821088,17.7,0.131,4.593240177407461,2.2767281795575958,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.905,80.8285,16.0272007,11.71115017,53124.04133,0.955,0.881600272,0.923017814,0.84,7.106436823,7.182320442,3.811090469,3.66724,13.84098,0.103,3.9582457534874806,0.8452759571717944,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.729,69.9835,12.15486685,10.4671402,12980.47536,0.954,0.708907934,0.743178384,0.653,10.29242224,10.42524005,18.28709602,3.73117071,8.859,0.339,0.4825085209672067,2.260184347717184,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.41,57.7692,10.53827477,2.226104975,846.0294333,0.91,0.390278575,0.428923695,0.285,29.48815881,30.48780488,34.25052643,40.97,13.24395,0.537,-4.508814597793492,1.1936329952622424,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.914,80.3649,19.12809944,11.46986961,47497.60421,0.969,0.89779237,0.926681333,0.836,8.440361383,8.533916849,3.848214149,9.1745,12.29837,0.09,4.006827304830382,1.6067510957075577,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.499,58.4624,11.43754959,3.141821766,2704.030136,0.856,0.45933715,0.536768985,0.311,37.35224857,37.6753507,37.87253571,44.79226,29.39195,0.626,-4.056678544335034,-0.5490629454553044,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.384,57.1246,7.163340092,0.97479713,1705.359774,0.859,0.353707299,0.411949627,0.275,27.9359587,28.38541667,38.65218735,20.96640874,24.18928,0.613,-5.068840995885791,-0.3432038005326407,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.561,68.8094,9.817905188,5.198870182,3273.90474,0.842,0.502850271,0.597474265,0.393,29.6238264,29.94652406,22.04715919,38.55827,28.26605,0.594,-2.511900666752303,-0.1289669784797834,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.794,74.1895,14.4906702,10.78184986,18481.03764,0.992,0.789967489,0.796674883,0.709,10.53057757,10.70528967,6.984802723,5.80724,18.79969,0.237,1.7666251479081048,0.958971678144399,Europe,6939018
BHR,Bahrain,Very High,AS,35.0,46.0,0.809,78.8902,13.58512974,8.247186979,37755.99605,0.938,0.77254457,0.823406131,0.5610944881889762,20.33897028741732,20.759962688393703,5.584329128,22.1544907,23.99892281564085,0.227,1.937731868702434,-0.6370352196679191,Asia,1711057
BHS,Bahamas,Very High,LAC,55.0,78.0,0.812,72.5638,12.52655756,11.94677192,35756.02322,0.9328421052631576,0.6708890898187134,0.7122762371695907,0.5610944881889762,20.33897028741732,20.759962688393703,10.6699028,6.917101819,23.99892281564085,0.362,1.5894528038786582,-0.582381156570771,North America,393893
BIH,Bosnia and Herzegovina,High,ECA,74.0,38.0,0.732,77.0069,13.86986,7.238110065,11267.26683,0.933,0.70478316,0.755069567,0.627,14.08861618,14.3442623,4.880657673,20.6874517,16.69773918,0.188,0.6073446334658974,1.1425194845157318,Europe,3277152
BLR,Belarus,Very High,ECA,60.0,29.0,0.797,71.5165,15.72727013,11.38092403,17880.6942,1.028,0.8080355,0.78605104,0.5610944881889762,20.33897028741732,20.759962688393703,5.060360909,19.99182290426,10.91539614,0.151,1.6117920522910223,1.8972063430532708,Europe,9448772
BLZ,Belize,Medium,LAC,123.0,86.0,0.709,72.6512,12.50613976,10.32235832,6807.410431,0.953,0.688546047,0.72241948,0.549,21.7564526,22.56699577,11.48853779,15.85449,37.92633,0.453,0.4456276833428816,-1.618483688225816,North America,398845
BOL,Bolivia,Medium,LAC,118.0,99.0,0.668,66.5337,14.2181673,7.943080107,6535.789314,0.93,0.641809598,0.690185481,0.494,25.81235711,26.04790419,22.16923332,21.6249,33.642938,0.482,-0.6252984825332564,-1.187804394701338,South America,11700207
BRA,Brazil,High,LAC,87.0,94.0,0.728,73.3432,13.9306097,7.006090164,14925.8874,0.986,0.720077669,0.729979321,0.54,24.7790978,25.82417582,11.64214039,22.42192,40.273233,0.447,0.3628245030636697,-1.9209104183411507,South America,212821986
BRB,Barbados,High,LAC,70.0,64.0,0.784,75.9166,15.28594971,9.662110089,14444.82048,1.018,0.787602505,0.77380916,0.5610944881889762,20.33897028741732,20.759962688393703,9.633282661,19.99182290426,33.58537775,0.316,1.3072883037345258,-1.0015376862121514,North America,287437
BRN,Brunei,Very High,EAP,51.0,61.0,0.832,74.858,14.34918022,8.82,67386.7062,0.975,0.817248125,0.838373667,0.5610944881889762,20.33897028741732,20.759962688393703,6.902755737,19.99182290426,23.99892281564085,0.3939101796407186,2.9677564854027576,-1.4119978783322369,Asia,438202
BTN,Bhutan,Medium,SA,127.0,98.0,0.591,68.881,12.15114021,2.261766999,8178.915986,0.926,0.567653127,0.613245846,0.409,29.92369269,30.79526227,19.86445808,44.81067,25.09595,0.513,-2.565228133486921,1.2105082499632356,Asia,773069
BWA,Botswana,Medium,SSA,117.0,117.0,0.669,60.5302,12.38022475,9.1,13459.90702,0.982,0.662134691,0.674322291,0.408,37.43688951,39.01345291,24.71766853,32.082,55.511,0.507,-1.0862272778643227,-3.8177578429863153,Africa,2359585
CAF,Central African Republic,Low,SSA,188.0,166.0,0.381,49.9482,6.85848999,3.702,1259.221163,0.778,0.330370207,0.424507821,0.218,42.55919513,42.78215223,43.93339539,34.5496,49.19459,0.688,-5.274482207507915,-3.1078284769951066,Africa,4843954
