ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
GEO,Georgia,Very High,ECA,63.0,66.0,0.773,72.412,13.90508008,12.49629974,11196.55969,0.975,0.75860497,0.77779085,0.651,14.83504501,15.78266494,8.313811302,4.061323717,32.13,0.364,-1.5353989121153016,-1.6377577725265196,Asia,3987805
GHA,Ghana,Medium,SSA,133.0,130.0,0.592,62.0805,11.13860035,7.661522065,4303.46166,0.913,0.565047975,0.618987649,0.418,29.18279733,29.39189189,28.39929199,36.74153,22.40757,0.571,2.3428664219015496,0.4593406045284028,Africa,31181428
GIN,Guinea,Low,SSA,182.0,157.0,0.425,57.4064,8.558400154,1.726904988,1969.292299,0.828,0.38556678,0.465392146,0.271,34.94911671,36.23529412,39.52573013,48.26536,17.05626,0.648,5.090024601374089,1.2493079432987717,Africa,13191279
GMB,Gambia,Low,SSA,174.0,153.0,0.467,62.0961,8.205079751,3.435685674,2092.378476,0.814,0.413300514,0.507552464,0.5621510791366907,20.304142475244607,20.75931192845324,28.79298019,19.47365799370064,26.928,0.653,3.6220086112203616,-0.3847825392144268,Africa,2427782
GNB,Guinea-Bissau,Low,SSA,177.0,159.0,0.456,57.6901,9.84512905,3.084553897,1769.702341,0.869,0.423874146,0.487726165,0.289,36.41401718,36.62280702,36.42705154,40.315,32.5,0.641,4.3979249091941695,-0.627591180320023,Africa,1975718
GNQ,Equatorial Guinea,Medium,SSA,145.0,85.37647058823529,0.592,58.8646,8.755901555,5.492152765,21808.4842,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,36.51246262,19.47365799370064,24.059114932170065,0.3875029940119761,1.9817843904681105,1.98319633884335,Africa,1410419
GRC,Greece,Very High,,33.0,32.0,0.866,80.3409,17.16433907,10.40212488,27795.0881,0.969,0.851745166,0.878988251,0.76,11.94801737,12.24018476,3.577052116,11.62377,20.64323,0.124,-2.9026280229035604,-0.485875859998832,Europe,10413936
GRD,Grenada,High,LAC,68.0,85.37647058823529,0.784,75.0416,18.27810478,8.45,12426.59763,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,9.592565536,19.47365799370064,24.059114932170065,0.3875029940119761,-0.9279553941207072,0.8624454964239633,North America,112614
GTM,Guatemala,Medium,LAC,135.0,121.0,0.616,71.463,10.58684969,4.800640106,7437.35323,0.921,0.588463937,0.639087173,0.412,32.26941622,33.11688312,18.00533867,34.64291,44.16,0.539,1.9792126111593824,-2.2308140806661214,North America,17971382
GUY,Guyana,High,LAC,108.0,114.0,0.669,67.2298,11.43113041,8.203162818,10125.12291,0.961,0.651917904,0.678530831,0.548,17.95131667,18.08669656,18.92346001,10.48157,24.44892,0.487,0.5775021305434037,0.1804836118529744,South America,787215
HKG,Hong Kong,Very High,,4.0,85.37647058823529,0.918,83.561,15.90355015,11.70422681,54722.85329,0.964,0.901335522,0.934951874,0.791,13.29918712,13.83442266,2.484447479,11.85039423,25.56271964,0.3875029940119761,-3.848110645145187,-0.8666035503891293,Asia,7507523
HND,Honduras,Medium,LAC,137.0,107.0,0.599,71.7344,10.06435013,5.518219948,4729.263681,0.966,0.585822756,0.606331006,0.436,26.25592785,27.21202003,12.73053455,24.34048,41.696769,0.462,1.6249539209220465,-2.0273592046157094,North America,9931333
