ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.478,62.6587,10.18014979,2.365896084,2101.589319,0.673,0.364833242,0.5421892,0.5845906040268456,19.30100421375168,19.705505918590607,30.17712593,45.36517,23.276750920895424,0.706,2.560179111055056,-3.6140937118478473,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.582,60.6546,11.6497,4.704040408,7652.656486,0.893,0.549278676,0.614967988,0.395,32.04023511,32.13058419,33.00392532,34.17144,28.94534,0.53,1.1300477045501325,-2.983554914178883,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.795,78.6441,15.07629967,10.54743948,12016.2976,0.984,0.788570993,0.801190682,0.714,10.13333035,10.18867925,6.262598515,11.9,12.23739254,0.204,-1.670947317242578,1.155555203441396,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.867,82.9534,13.14028012,10.57328033,49936.87454,0.9411754385964912,0.691502913508772,0.7287256114912282,0.5845906040268456,19.30100421375168,19.705505918590607,5.18843174,10.08381514,23.276750920895424,0.3717857142857143,-2.215677262537001,1.057296487352297,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.865,79.2232,13.30245607,10.67445625,65577.51224,0.922,0.817717618,0.886984445,0.5845906040268456,19.30100421375168,19.705505918590607,5.262248039,19.13375134389881,23.276750920895424,0.126,-2.7870730541724256,1.7651035128203554,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.848,76.7602,17.40954971,10.91755009,23508.76738,1.0,0.842831978,0.842682753,0.731,13.43260217,13.79716981,8.435142517,6.33131,25.531354,0.345,-0.5722468986729915,2.265580156177574,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.766,74.4361,12.96794987,11.57221031,11774.34934,0.986,0.757499871,0.768072109,0.697,8.935868375,9.007832898,8.868245125,3.685,14.25436,0.309,-1.7633679126957995,0.5976601822130952,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.791,77.9127,14.56530302,9.171153001,17679.66135,0.9411754385964912,0.691502913508772,0.7287256114912282,0.5845906040268456,19.30100421375168,19.705505918590607,5.703820705,19.13375134389881,23.276750920895424,0.3717857142857143,-0.0325286430682634,0.8954466990514356,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.933,82.6552,23.08892059,12.2456398,46307.57617,0.963,0.912894237,0.948054042,0.857,7.837651988,8.145766345,3.495991945,2.72096402,17.296,0.111,-3.200382450906875,3.943427544808678,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.91,81.1594,15.95141029,12.07699013,52450.23877,0.964,0.890669438,0.92410505,0.849,6.547001419,6.703296703,3.417464256,2.60756,13.61598,0.084,-2.0784960312042537,3.2247446383770617,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.748,71.4512,12.81493173,10.47585011,14405.94934,0.958,0.729311375,0.761307593,0.679,9.176522512,9.22459893,15.13292217,3.537645367,8.859,0.335,-2.1123372912998217,-0.028990107454481,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.428,60.2172,11.52795982,2.285303354,824.8696219,0.931,0.412340592,0.443109596,0.309,27.03502344,27.80373832,30.09469032,36.86809,14.14229,0.517,3.1320484966705413,-3.2285971479209987,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.924,80.8898,19.76292038,11.89404011,50027.9913,0.972,0.909634865,0.935833906,0.85,7.951740222,8.008658009,3.594240665,8.0071,12.25388,0.063,-2.3178101465023304,3.652163319144333,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.529,59.3771,12.80451012,3.716035576,2922.065347,0.861,0.488835438,0.568049538,0.334,36.6719955,36.86200378,36.06693649,43.65639,30.29266,0.622,1.113297815658895,-3.9540027267182487,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.418,58.8454,8.258930206,1.444627494,1839.270697,0.886,0.391776973,0.44233607,0.287,30.67067532,31.33971292,35.5474968,39.15279412,17.31173505,0.619,3.0595267418350973,-4.183327056926067,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.602,70.4913,11.00469518,5.98582983,3936.276588,0.876,0.55302912,0.631367542,0.453,24.04444525,24.75083056,19.16786575,37.30855,15.65692,0.557,1.579276392616313,-1.5872297504435569,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.809,74.6325,14.94668007,11.18832016,19798.96986,0.992,0.804747238,0.811093471,0.715,11.35791836,11.61928307,5.937725067,6.7133,21.42273,0.218,-1.009638153619402,1.49297878378715,Europe,6939018
