ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.474,62.4167,9.875836372,2.261614163,2193.553936,0.659,0.354771795,0.538757274,0.5727602739726027,19.83673075241096,20.26141256282192,31.20422935,44.82338,23.75658708326797,0.728,-2.801555020967851,-3.3496568182650743,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.552,59.3074,10.6049,3.950166115,7478.104777,0.866,0.511229906,0.590606149,0.5727602739726027,19.83673075241096,20.26141256282192,35.23054886,19.25847161108485,28.94534,0.54,-0.9437834130743508,-3.087856456299704,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.785,78.1226,14.92564011,10.19628076,11552.98247,0.968,0.77112962,0.796231362,0.704,10.29833238,10.31847134,6.757604599,11.9,12.23739254,0.225,-0.2091118814778924,2.0835026209768026,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.864,82.9343,13.13884093,10.61606216,46385.0952,0.9370116959064326,0.6818588401461988,0.7213140069883041,0.5727602739726027,19.83673075241096,20.26141256282192,5.201047897,15.1603022,23.75658708326797,0.3797185628742514,2.2171856141312296,0.9459710954759912,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.852,78.8528,13.06474735,10.33812896,60005.69536,0.92,0.802858498,0.873143431,0.5727602739726027,19.83673075241096,20.26141256282192,5.483332634,19.25847161108485,23.75658708326797,0.161,-0.0434966994007619,3.037875679533781,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.845,76.4908,17.09185028,10.89459991,23915.41972,0.997,0.838914911,0.841565097,0.724,13.77479703,14.31952663,8.912259102,6.51336,25.898772,0.356,1.359295817971503,1.908205412343712,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.76,73.6759,13.11046028,11.38337994,11351.53875,0.982,0.749611655,0.763535534,0.689,9.194577329,9.342105263,9.644371986,3.685,14.25436,0.305,-0.5794034620016558,1.8638239444924511,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.787,77.5834,14.75945549,9.08012475,16722.97555,0.9370116959064326,0.6818588401461988,0.7213140069883041,0.5727602739726027,19.83673075241096,20.26141256282192,6.124629498,19.25847161108485,23.75658708326797,0.3797185628742514,0.6414133400016716,0.6093683997207064,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.929,82.6041,22.77989939,12.01885986,45260.60917,0.961,0.907494574,0.944315227,0.851,8.131943525,8.396124865,3.760292053,2.935538521,17.7,0.123,1.5009638234692473,4.816474772033559,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.905,81.0783,15.84848976,11.78754044,52625.83517,0.963,0.885395737,0.919529371,0.833,7.759395127,7.955801105,3.477985382,4.29767,15.50253,0.086,1.9656628391247537,3.253275952680841,Europe,9015361
