ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.483,62.5751,10.26384398,2.854717589,1997.852149,0.689,0.3740333,0.542963575,0.5983333333333334,18.27387019704487,18.688719234878207,26.43369865,45.36517,22.808170488575,0.674,4.377131936208147,-1.082634414097506,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.59,62.2612,12.1721,5.417390823,5593.14206,0.904,0.560780317,0.620493506,0.409,30.65358132,30.6779661,28.91197395,34.17144,28.87733,0.537,2.7691657805825867,-1.4828218886171365,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.794,76.9893,14.44799995,11.28645502,12996.76291,1.006,0.79657131,0.791941236,0.709,10.72704182,10.70528967,6.668705463,12.33344,13.17898,0.156,-1.0869231965178432,1.4671317926317802,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.848,79.0234,13.30023874,10.55511952,47878.66664,0.9468372093023256,0.702708316755814,0.7365943803604651,0.5983333333333334,18.27387019704487,18.688719234878207,5.421921253,10.00815435,22.808170488575,0.3441588235294118,-1.904346907682361,-0.5931138299223496,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.912,78.9457,15.71769047,12.69402981,63016.40122,0.952,0.877874432,0.921901043,0.5983333333333334,18.27387019704487,18.688719234878207,4.645751476,12.63435527,22.808170488575,0.05,-3.5230698370597704,0.0341238902142945,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.84,75.8921,17.8748703,11.14726927,19178.33184,0.999,0.831992596,0.832783696,0.718,13.86211385,14.52380952,7.699284554,5.78729,28.099767,0.293,-2.2023669325181383,-0.2411430131866731,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.757,72.173,13.11676025,11.33030033,12454.14508,0.995,0.752066781,0.756001474,0.686,9.213209913,9.379128137,7.266309738,2.93495,17.43837,0.239,-0.6017039376481066,1.2915005151277834,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.788,78.8406,14.18462641,9.293740746,16265.29515,0.9468372093023256,0.702708316755814,0.7365943803604651,0.5983333333333334,18.27387019704487,18.688719234878207,4.947394848,18.006313952028407,22.808170488575,0.3441588235294118,-0.8328491403315094,-0.0941669121067717,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.947,84.3239,21.05459023,12.72681999,47078.24446,0.966,0.928481823,0.96085886,0.872,7.675566646,7.919746568,2.844130039,3.056569899,17.126,0.074,-4.084820529446157,2.2482997970213594,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.913,81.5036,16.00795937,12.25669003,51574.18306,0.979,0.903038551,0.92197063,0.849,6.894374013,7.009857612,3.227802038,2.52241,14.93291,0.052,-3.43250619745497,1.243736941229236,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.73,66.8679,13.49689007,10.5429697,13567.9371,0.977,0.719931999,0.736845432,0.668,8.360923077,8.493150685,12.65870762,3.56506161,8.859,0.301,0.1183767652407216,2.1535112030244488,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.426,61.5663,10.72272189,3.129266883,735.7371044,0.938,0.413046739,0.44029045,0.301,28.86453833,29.342723,26.17607498,39.48821,20.92933,0.506,4.417676419709633,-0.8792318951745522,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.928,80.7884,19.60421944,12.37567997,49391.99684,0.976,0.915793049,0.938753623,0.867,6.522517861,6.573275862,3.387473583,5.87561,10.30447,0.048,-3.63066756345234,2.255670054539233,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.524,60.088,10.76667976,4.304786445,3288.470605,0.877,0.489813536,0.558333179,0.333,36.33137334,36.45038168,33.32621002,43.69355,31.97436,0.609,3.9083957025329648,-2.032581686200139,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.449,59.7306,9.142100334,2.114962259,2038.513202,0.906,0.425552279,0.469846128,0.314,29.50045717,30.06681514,32.03684235,39.15279412,17.31173505,0.621,4.965751137388973,-0.5698940493951986,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.655,71.9678,12.44198036,7.379059792,5108.160545,0.896,0.611526577,0.682286468,0.498,23.21187004,23.96946565,15.76729012,37.31177,16.55655,0.531,1.7924100418147535,0.6238830086398202,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.802,73.6453,13.89729023,11.41318035,22020.49393,0.997,0.800078178,0.80255907,0.707,11.38533853,11.84538653,5.221115589,5.93179,23.00311,0.204,-1.3446418824755386,0.5802855300964375,Europe,6939018
BHR,Bahrain,Very High,AS,35.0,46.0,0.877,79.1735,16.29755974,11.04658985,39030.38571,0.928,0.830807522,0.895332486,0.5983333333333334,18.27387019704487,18.688719234878207,4.602693558,12.56789221,22.808170488575,0.185,-2.529847761973028,0.4186530310426535,Asia,1711057
BHS,Bahamas,Very High,LAC,55.0,78.0,0.815,72.6766,12.89945,12.64192386,29190.8387,0.9468372093023256,0.702708316755814,0.7365943803604651,0.5983333333333334,18.27387019704487,18.688719234878207,8.86548233,6.917101819,22.808170488575,0.325,-0.7187588665220431,0.9333961782981798,North America,393893
BIH,Bosnia and Herzegovina,High,ECA,74.0,38.0,0.781,76.2254,13.8,10.53631973,14381.63676,0.939,0.754739951,0.803545079,0.678,12.98339274,13.18822023,4.00090313,14.78890508,20.16037,0.138,-1.0157272961301866,0.546178922808768,Europe,3277152
BLR,Belarus,Very High,ECA,60.0,29.0,0.807,72.5132,15.16996956,12.14358044,18307.70473,1.013,0.811503953,0.801273133,0.764,5.284676219,5.328376704,3.436508656,2.77203,9.64549,0.104,-1.363195884359506,2.205852382023508,Europe,9448772
BLZ,Belize,Medium,LAC,123.0,86.0,0.69,72.854,12.99168968,8.847599983,5897.150457,0.971,0.676725736,0.696579254,0.54,20.6464386,21.73913043,9.200205803,14.81278,37.92633,0.387,-0.1481192135983648,-1.765220710151428,North America,398845
BOL,Bolivia,Medium,LAC,118.0,99.0,0.694,64.4667,14.94697094,9.827750206,7756.177294,0.959,0.679432261,0.708366379,0.55,20.61476564,20.74927954,18.43809891,16.54294,26.863258,0.425,0.4859119985144042,-0.7634020968195147,South America,11700207
BRA,Brazil,High,LAC,87.0,94.0,0.758,74.0089,15.59906006,8.128813955,13790.71143,0.994,0.753576489,0.758440281,0.579,22.31647706,23.61477573,9.990485191,15.65257,41.306376,0.395,-0.9186550586073052,-2.0924337451371984,South America,212821986
BRB,Barbados,High,LAC,70.0,64.0,0.788,77.3929,15.71338458,9.852700596,12167.22012,1.034,0.797660125,0.771079702,0.656,15.79009115,16.75126904,8.238045692,5.54685,33.58537775,0.268,-1.5090982167396116,-1.0508198027713604,North America,287437
BRN,Brunei,Very High,EAP,51.0,61.0,0.83,74.7949,13.95178032,9.18,65077.71446,0.984,0.820698854,0.83376971,0.5983333333333334,18.27387019704487,18.688719234878207,7.561635017,18.006313952028407,22.808170488575,0.259,-2.5642351090240973,-1.0370337296446932,Asia,438202
BTN,Bhutan,Medium,SA,127.0,98.0,0.668,71.6094,13.22500478,5.170262283,9898.25027,0.937,0.642684491,0.685985086,0.471,27.79568398,29.49101796,15.20533562,48.22657529,19.95514103,0.422,2.381154802751655,1.0399082447300396,Asia,773069
BWA,Botswana,Medium,SSA,117.0,117.0,0.713,65.6471,12.26513765,10.34,14696.02701,0.981,0.705463505,0.719363448,0.5983333333333334,18.27387019704487,18.688719234878207,21.79156303,23.27683,22.808170488575,0.469,1.1034032730490335,0.3058089074969436,Africa,2359585
CAF,Central African Republic,Low,SSA,188.0,166.0,0.407,54.6042,8.040171714,4.334,974.4816457,0.806,0.361168052,0.447823825,0.242,40.21556319,40.54054054,36.25424957,35.19785,49.19459,0.69,4.7932999939267935,-3.959509520516259,Africa,4843954
CAN,Canada,Very High,,15.0,17.0,0.931,82.0471,16.39625931,13.83442722,45038.07302,0.988,0.924506639,0.936122733,0.855,7.93892064,8.163265306,4.218761921,2.521,17.077,0.07,-3.5226522800063247,1.3063836578209167,North America,37799407
