ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.479,62.5451,10.17434978,2.313755123,2178.507021,0.63,0.34346564,0.545574279,0.5795333333333333,19.549953434246667,19.962449433286668,30.7356205,44.82338,23.631926135694805,0.718,2.7308772841978617,3.4740560384346293,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.563,60.0397,11.1273,3.990689993,7704.231949,0.884,0.528157718,0.597755941,0.5795333333333333,19.549953434246667,19.962449433286668,34.03232574,19.13545693755952,28.94534,0.531,0.7224168411042303,3.0284046991760265,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.792,78.4075,15.25242043,10.37037387,11691.64829,0.968,0.777742313,0.803064109,0.711,10.19806847,10.22727273,6.456812859,11.9,12.23739254,0.219,0.1726717412468444,-2.073514667741567,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.871,82.9483,13.495076,10.64503956,48483.72032,0.9405380116959062,0.6873596298479533,0.7247800650994152,0.5795333333333333,19.549953434246667,19.962449433286668,5.193582058,9.965680746,23.631926135694805,0.3772275449101797,0.3567862543777259,-2.4335334058279017,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.859,79.0442,13.18360171,10.5062926,62573.50531,0.921,0.810474339,0.880434394,0.5795333333333333,19.549953434246667,19.962449433286668,5.372208118,19.13545693755952,23.631926135694805,0.151,-2.7397211491637696,-1.5938696789905915,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.846,76.7549,17.27013969,10.90851021,23087.86964,0.995,0.838298397,0.842550658,0.725,13.74555362,14.30260047,8.654255867,6.19228,26.390125,0.351,-1.5536324779865014,-1.7629128501120792,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.764,74.0577,13.10354042,11.47779512,11518.60475,0.985,0.754553747,0.76572181,0.694,9.060822281,9.162303665,9.243106842,3.685,14.25436,0.313,0.5161591695876645,-1.7985545185276506,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.789,77.8577,14.66205789,9.125525374,17119.31079,0.9405380116959062,0.6873596298479533,0.7247800650994152,0.5795333333333333,19.549953434246667,19.962449433286668,5.897801399,19.13545693755952,23.631926135694805,0.3772275449101797,-0.5352995046634085,-0.6392067799946977,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.931,82.5677,22.93440999,12.16699982,45851.64201,0.972,0.916619673,0.943098542,0.855,7.908587538,8.163265306,3.596862078,2.832900537,17.296,0.117,-1.2717263285753322,-4.886405495264568,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.909,81.3903,15.85573006,12.01449966,52720.29769,0.972,0.895093018,0.921255572,0.846,6.763108616,6.930693069,3.466215849,2.65811,14.165,0.083,-1.6306540711007225,-3.4994264579344168,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.745,71.1163,12.64991551,10.47768021,14481.31337,0.958,0.726547889,0.758403377,0.674,9.407967627,9.530201342,15.87365723,3.491245651,8.859,0.345,1.295169562472205,-1.7011685942872738,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.426,59.8684,11.37755013,2.025470018,884.172209,0.992,0.423542479,0.426974239,0.307,27.30509638,27.9342723,30.90490913,36.86809,14.14229,0.525,3.442588228768181,2.9406608668195595,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.921,81.0811,19.69639015,11.64029026,49281.30405,0.971,0.906542718,0.933251605,0.843,8.410854293,8.469055375,3.702262878,9.27642,12.25388,0.068,-1.2894206156541064,-4.08456447972439,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.524,59.1249,12.56748962,3.572482124,2962.296501,0.852,0.481827658,0.565441238,0.33,36.82621354,37.02290076,36.52959061,43.65639,30.29266,0.618,1.2239586425147675,3.885347098460768,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.408,58.3589,7.867080212,1.286329985,1827.353699,0.881,0.381192331,0.432483533,0.279,30.92714251,31.61764706,36.31689835,39.15279412,17.31173505,0.601,3.482290560420151,3.918495517162489,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.583,69.9856,10.70799768,5.194399834,3742.516573,0.874,0.534675656,0.611997251,0.438,24.28146447,24.87135506,19.87892342,37.30855,15.65692,0.568,2.163213342540175,1.4083085738694905,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.807,74.4824,15.08736992,11.05152988,19464.43982,0.992,0.802890712,0.809376612,0.717,10.97869376,11.15241636,6.555721283,6.42343,19.95693,0.232,-0.5870907135135575,-1.775090395938021,Europe,6939018
BHR,Bahrain,Very High,AS,35.0,46.0,0.83,79.3278,13.6883297,8.892116865,45615.58247,0.946,0.796919344,0.842559529,0.5795333333333333,19.549953434246667,19.962449433286668,5.210981369,22.1544907,23.631926135694805,0.23,-2.0072220262551204,-1.1736628710788832,Asia,1711057
BHS,Bahamas,Very High,LAC,55.0,78.0,0.82,73.3658,12.70420103,12.20285769,34482.273,0.9405380116959062,0.6873596298479533,0.7247800650994152,0.5795333333333333,19.549953434246667,19.962449433286668,10.14827633,6.917101819,23.631926135694805,0.365,0.0751115518588189,-1.4641400648084797,North America,393893
BIH,Bosnia and Herzegovina,High,ECA,74.0,38.0,0.756,75.6586,14.02045333,9.194009781,12166.00844,0.917,0.72139463,0.787055006,0.641,14.88410693,15.21164021,4.603337288,19.8886135,20.16037,0.167,-0.1760445893315776,-0.9054772381779846,Europe,3277152
BLR,Belarus,Very High,ECA,60.0,29.0,0.812,73.5849,15.62298012,11.66692019,18522.02546,1.017,0.817724029,0.80381193,0.76,6.298859779,6.403940887,4.380287647,3.67781,10.83848169,0.149,0.0837366286571688,-2.614946385475181,Europe,9448772
