ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.478,61.9824,10.26384398,2.98506999,1824.190915,0.681,0.36484023,0.535610873,0.5983397435897436,18.19876460451923,18.62077768851282,26.16536713,45.36517,22.808170488575,0.678,-0.0810060693145567,-4.5025257438259,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.586,61.6434,12.1721,5.417390823,5465.617791,0.903,0.556745058,0.616557703,0.407,30.41216757,30.54607509,28.1877327,34.17144,28.87733,0.537,0.988042502581208,-2.9749211647990497,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.796,76.4626,14.44799995,11.28645502,14131.11039,1.007,0.799221622,0.793604613,0.71,10.76768488,10.8040201,6.790634632,12.33344,13.17898,0.144,0.1019449535840911,1.7240339084686849,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.858,80.3684,13.30023874,10.55511952,51166.62661,0.9472848837209302,0.7019377737732557,0.7353976421511628,0.5983397435897436,18.19876460451923,18.62077768851282,5.297909737,10.00815435,22.808170488575,0.3443764705882353,-1.7666760070211251,1.1867913936832832,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.911,78.7104,15.71769047,12.69402981,62573.59181,0.953,0.87713227,0.920631429,0.5983397435897436,18.19876460451923,18.62077768851282,4.524926186,12.63435527,22.808170488575,0.049,-1.9887177306361865,2.725988499489806,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.842,75.3899,17.8748703,11.14726927,20925.26814,0.997,0.833324995,0.835521148,0.72,13.83730084,14.48931116,7.624845505,5.78729,28.099767,0.287,-0.6933611410975877,1.9445462790612509,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.759,72.0431,13.11676025,11.33030033,13157.9939,1.001,0.756949514,0.756110563,0.688,9.136398122,9.354413702,7.035874367,2.93495,17.43837,0.216,0.7355831184850168,1.3203251897683668,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.788,78.4968,14.18462641,9.293740746,16792.36595,0.9472848837209302,0.7019377737732557,0.7353976421511628,0.5983397435897436,18.19876460451923,18.62077768851282,4.746305943,18.006313952028407,22.808170488575,0.3443764705882353,-0.7270129167671764,0.5258614655297394,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.951,84.5265,21.05459023,12.72681999,49238.43335,0.968,0.93167223,0.962956483,0.876,7.640183183,7.886435331,2.73797965,3.056569899,17.126,0.073,-0.7595475218883968,4.631963584546965,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.916,81.5797,16.00795937,12.25669003,53618.67138,0.98,0.905682295,0.923877356,0.851,6.904079795,7.096069869,3.256919384,2.52241,14.93291,0.053,-1.275620306756566,3.4252289591709144,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.745,69.3658,13.49689007,10.5429697,14256.74456,0.974,0.733874991,0.753249711,0.685,7.915732963,8.053691275,11.32313728,3.56506161,8.859,0.294,1.5054655613251824,1.4510693819623524,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.426,61.6627,10.72272189,3.129266883,731.7867086,0.935,0.412236237,0.440934982,0.302,28.67465287,29.10798122,25.60641861,39.48821,20.92933,0.505,0.0359762413911279,-4.422324075079295,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.937,81.8787,19.60421944,12.37567997,52293.39977,0.978,0.925048073,0.946127575,0.874,6.587387026,6.723585912,3.582081079,5.87561,10.30447,0.048,-1.0253139167188228,4.254195630638828,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.525,59.821,10.76667976,4.304786445,3408.965923,0.88,0.491304048,0.558101711,0.334,36.1098793,36.38095238,32.66172791,43.69355,31.97436,0.602,1.2423940138987828,-4.167465736759609,Africa,12175480
