ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
AFG,Afghanistan,Low,SA,180.0,167.0,0.481,63.1361,10.1859498,2.463660385,2077.566899,0.682,0.37129479,0.544158827,0.5893892617449664,19.165590558013427,19.56945129791275,29.33408546,45.36517,23.437117493129872,0.692,-3.032372607076611,3.232697957197806,Asia,39074280
AGO,Angola,Medium,SSA,148.0,136.0,0.596,61.0923,12.17209,5.417390823,7189.426672,0.9,0.565526867,0.628557241,0.407,31.7083076,31.7114094,32.0761528,34.17144,28.87733,0.529,-2.6697177177896085,1.4822037872548974,Africa,33032075
ALB,Albania,High,ECA,67.0,39.0,0.798,78.8602,14.80459976,10.72752833,12484.6242,0.988,0.792468933,0.802194502,0.717,10.10048676,10.15037594,6.164067745,11.9,12.23739254,0.191,1.9743592317788492,-0.3715730467190594,Europe,2877239
AND,Andorra,Very High,,40.0,85.37647058823529,0.871,82.9671,13.30023874,10.55609989,52267.73832,0.9434035087719298,0.6963175670818713,0.7322000286257311,0.5893892617449664,19.165590558013427,19.56945129791275,5.177571297,10.00815435,23.437117493129872,0.3652130177514793,2.5093903102728348,0.0818961021212709,Europe,77287
ARE,United Arab Emirates,Very High,AS,26.0,11.0,0.87,79.3347,13.42131042,10.8426199,66881.32974,0.921,0.822699191,0.892931509,0.5893892617449664,19.165590558013427,19.56945129791275,5.154098988,18.24143743,23.437117493129872,0.118,1.1039927536729517,-3.09321301240045,Asia,9910892
ARG,Argentina,Very High,LAC,47.0,69.0,0.847,76.3077,17.66885948,10.92819023,22694.2851,0.996,0.838451952,0.841695176,0.725,13.7881569,14.40377804,8.235307693,6.15194,26.977223,0.338,1.006494887836361,-2.175511768971172,South America,45267449
ARM,Armenia,High,ECA,85.0,53.0,0.765,74.6639,13.00150331,11.37989998,11570.46772,0.986,0.755318056,0.766127127,0.689,9.622444595,9.934640523,8.494013786,2.93495,17.43837,0.306,1.4961833242112832,-0.1410631306002279,Asia,2964219
ATG,Antigua and Barbuda,High,LAC,71.0,85.37647058823529,0.794,78.1516,14.46918664,9.217008766,18421.76805,0.9434035087719298,0.6963175670818713,0.7322000286257311,0.5893892617449664,19.165590558013427,19.56945129791275,5.523726463,18.85385136647619,23.437117493129872,0.3652130177514793,0.530708916828205,-0.5895732610961443,North America,98069
AUS,Australia,Very High,,5.0,19.0,0.935,82.8707,22.74729919,12.35210991,46558.17827,0.974,0.922274895,0.946490186,0.861,7.740621191,7.914438503,3.415297508,2.672566064,17.134,0.101,3.4464262785341715,-3.5931958127850088,Oceania,25550683
AUT,Austria,Very High,,25.0,12.0,0.915,81.5925,16.08119011,12.11466026,53662.57417,0.964,0.89582405,0.928999395,0.85,6.92863792,7.103825137,3.439393759,2.57064,14.77588,0.082,3.188004428553582,-2.083392655087514,Europe,9015361
AZE,Azerbaijan,High,ECA,91.0,70.0,0.75,72.0039,12.97994795,10.55539989,13401.18041,0.955,0.728865717,0.763216774,0.682,8.911917924,9.066666667,14.32725716,3.549496613,8.859,0.328,1.8525681355601764,0.7862046595778933,Asia,10154978
BDI,Burundi,Low,SSA,187.0,127.0,0.43,60.7931,11.48011017,2.54513669,794.5204667,0.929,0.414034737,0.445546704,0.312,26.74399701,27.44186047,29.22161102,36.86809,14.14229,0.514,-2.426143690291852,3.763404802128425,Africa,11948454
BEL,Belgium,Very High,,13.0,10.0,0.927,81.2661,19.69990921,11.98532009,50509.14666,0.973,0.913689912,0.938584241,0.852,8.085200491,8.090614887,3.524961472,8.6933,12.03734,0.06,3.769363453266362,-2.056564926117989,Europe,11598451
BEN,Benin,Low,SSA,166.0,152.0,0.53,59.5394,12.61454964,3.863223294,2935.45155,0.867,0.491813412,0.567195965,0.335,36.52607061,36.79245283,35.62916183,43.65639,30.29266,0.618,-3.696123650397729,1.9093349567230933,Africa,12175480
BFA,Burkina Faso,Low,SSA,184.0,157.0,0.427,59.3262,8.525589943,1.602925003,1893.155373,0.889,0.401399054,0.451422709,0.295,30.42987637,30.91334895,34.82509995,39.15279412,17.31173505,0.613,-3.27962009678661,3.9507442863185926,Africa,20997293
BGD,Bangladesh,Medium,SA,129.0,131.0,0.612,71.09,11.30139267,6.113890171,4142.902911,0.893,0.570625902,0.639154548,0.462,23.80965826,24.50980392,18.46350479,37.30855,15.65692,0.551,-0.6785247907888882,2.158396643530054,Asia,164972348
BGR,Bulgaria,High,,68.0,52.0,0.809,74.8336,14.64490986,11.23243999,20532.41676,0.994,0.805866912,0.811053607,0.713,11.52358417,11.86650185,5.862112522,6.51633,22.19231,0.216,1.3243389069078495,-1.075816085535617,Europe,6939018
BHR,Bahrain,Very High,AS,35.0,46.0,0.865,79.5569,16.34917068,9.322070122,45331.79071,0.932,0.823323198,0.883366211,0.5893892617449664,19.165590558013427,19.56945129791275,5.073634148,17.439716,23.437117493129872,0.236,1.3873206574650867,-2.2277580677310223,Asia,1711057
BHS,Bahamas,Very High,LAC,55.0,78.0,0.823,73.5368,12.82263,12.37662396,34055.54939,0.9434035087719298,0.6963175670818713,0.7322000286257311,0.5893892617449664,19.165590558013427,19.56945129791275,9.816437721,6.917101819,23.437117493129872,0.349,1.3539555979833977,-0.1872424850016028,North America,393893
BIH,Bosnia and Herzegovina,High,ECA,74.0,38.0,0.77,76.8083,13.86522667,9.692919731,13215.3302,0.921,0.735735354,0.798799008,0.662,13.83362804,14.02597403,4.365575314,16.97493881,20.16037,0.167,0.9554573905172642,-0.4739911375715018,Europe,3277152
BLR,Belarus,Very High,ECA,60.0,29.0,0.813,74.258,15.58063984,11.85758429,17070.03342,1.013,0.816473432,0.806349136,0.762,6.182972932,6.273062731,4.032627106,3.67781,10.83848169,0.121,2.477891599274662,-0.5315388592171382,Europe,9448772
BLZ,Belize,Medium,LAC,123.0,86.0,0.712,73.3988,13.43655014,9.503048134,6766.32689,0.977,0.702702475,0.718911862,0.557,20.74716695,21.76966292,9.502390862,14.81278,37.92633,0.41,-1.1845890478475487,-1.385691991580447,North America,398845
BOL,Bolivia,Medium,LAC,118.0,99.0,0.701,67.6277,14.49550819,9.162832737,8056.443085,0.948,0.680588138,0.717848226,0.529,24.22166499,24.5363766,19.82933998,19.3384,33.497255,0.43,-1.345141979220243,-0.4974253038839666,South America,11700207
BRA,Brazil,High,LAC,87.0,94.0,0.755,74.4415,15.45316982,7.731040001,14143.48937,0.992,0.749919421,0.755956442,0.572,23.0573235,24.2384106,10.23794651,18.39506,40.538964,0.431,-1.2589574096050589,-1.8926496603336391,South America,212821986
BRB,Barbados,High,LAC,70.0,64.0,0.794,76.8149,15.55171351,9.734617347,15022.36929,1.043,0.807611491,0.774241257,0.659,16.04055749,17.00251889,8.989444733,5.54685,33.58537775,0.296,0.0068180160642,-2.01115234878729,North America,287437
BRN,Brunei,Very High,EAP,51.0,61.0,0.835,74.7332,14.59230995,9.06,65044.6337,0.986,0.827679913,0.839374838,0.5893892617449664,19.165590558013427,19.56945129791275,7.313009262,18.85385136647619,23.437117493129872,0.282,2.8527777283994884,0.0266442875733018,Asia,438202
BTN,Bhutan,Medium,SA,127.0,98.0,0.638,70.6022,12.86317635,3.690095949,9850.590693,0.931,0.612767314,0.658399654,0.455,27.54849249,28.68338558,16.83418655,44.81067,21.00062092,0.486,-0.5732564469211925,2.5329549614909963,Asia,773069
BWA,Botswana,Medium,SSA,117.0,117.0,0.713,65.4644,12.3081694,10.1,15856.54951,0.983,0.706799375,0.718693173,0.5893892617449664,19.165590558013427,19.56945129791275,23.25896454,23.27683,23.437117493129872,0.48,-0.9175613482865208,0.3028732450334306,Africa,2359585
CAF,Central African Republic,Low,SSA,188.0,166.0,0.391,53.4601,7.5053967,4.256,903.077833,0.795,0.344540641,0.43360143,0.229,41.10428358,41.43222506,39.56866074,34.5496,49.19459,0.701,-5.848461389559299,2.274100864786266,Africa,4843954
CAN,Canada,Very High,,15.0,17.0,0.928,82.0434,16.00966072,13.73192024,46340.41847,0.985,0.919773205,0.933513025,0.852,7.954206041,8.189655172,4.452618122,2.58,16.83,0.087,3.027380638156255,-2.3234854894987733,North America,37799407
CHE,Switzerland,Very High,,1.0,3.0,0.956,83.4452,16.24938011,13.66668034,68993.42475,0.966,0.937024059,0.969580342,0.892,6.585529425,6.694560669,3.342828274,1.93114,14.48262,0.039,3.657246665191958,-2.974050137673756,Europe,8665615
CHL,Chile,Very High,LAC,42.0,47.0,0.85,80.0794,16.41803932,10.42321491,23781.35546,0.966,0.832625096,0.862263888,0.715,15.35295193,15.88235294,5.861115456,11.98775734,28.209983,0.259,0.9746900761225192,-2.086360926323735,South America,19144605
CHN,China,High,EAP,79.0,48.0,0.74,77.2177,13.68710003,7.299972725,13332.38637,0.975,0.729868917,0.748593001,0.623,15.34119476,15.81081081,6.952584267,11.68,27.391,0.221,-0.0165984940763282,-0.8522939594754223,Asia,1440297825
CMR,Cameroon,Medium,SSA,151.0,148.0,0.564,60.2333,12.10426044,5.983691359,3574.466975,0.873,0.524448637,0.600602471,0.374,33.67357622,33.68794326,32.19633865,32.95967,35.86472,0.579,-3.327296240182687,1.0959648304339569,Africa,26655083
COG,Congo,Medium,SSA,153.0,147.0,0.586,63.5765,11.6188061,6.124,4304.605561,0.935,0.565710123,0.604880377,0.438,25.06914809,25.2559727,23.27597427,20.93222,30.99925,0.58,-2.1903377398470965,0.9208956744024422,Africa,5540555
COL,Colombia,High,LAC,88.0,102.0,0.759,76.4713,14.41985989,8.221500397,14044.84239,0.991,0.754628616,0.761662954,0.593,20.99439852,21.87088274,10.00914955,16.19259,36.781456,0.427,-0.7905190766588589,-1.6203912767972228,South America,50976248
COM,Comoros,Medium,SSA,156.0,85.37647058823529,0.548,63.2368,11.51177361,4.845539248,3003.504354,0.878,0.50879939,0.579210165,0.3,44.05590886,45.25547445,28.53996658,47.61438,56.01338,0.3652130177514793,-1.2075090636212389,5.153479994405391,Africa,872695
CPV,Cabo Verde,Medium,SSA,128.0,84.0,0.67,75.7423,13.04734993,5.973347954,6250.87307,0.982,0.664216932,0.6763142,0.5893892617449664,19.165590558013427,19.56945129791275,11.03690529,27.38759118,23.437117493129872,0.391,-0.0710005452583679,1.0611765299006348,Africa,557026
CRI,Costa Rica,Very High,LAC,58.0,60.0,0.803,79.4592,15.4200201,8.564390182,18902.33613,0.983,0.794015755,0.807960161,0.655,17.501555,18.43088418,6.100358009,12.18311,34.221197,0.312,-0.0334110501905922,-2.11100971738038,North America,5102158
CUB,Cuba,High,LAC,83.0,73.0,0.774,77.643,13.81694984,12.0596942,8241.72571,0.954,0.752192106,0.788850579,0.5893892617449664,19.165590558013427,19.56945129791275,4.840030193,10.93381,23.437117493129872,0.309,0.9084266551338328,-1.0585364486090278,North America,11325391
CYP,Cyprus,Very High,,29.0,35.0,0.877,81.0563,14.74003983,12.08658028,35044.10672,0.981,0.868073922,0.885303429,0.785,10.29531244,10.49030787,2.772077322,11.7125,16.40136,0.101,2.450465299094782,-1.4815128056338736,Asia,1208886
DEU,Germany,Very High,,9.0,19.0,0.941,80.8471,16.87524033,14.1321497,53349.82314,0.97,0.926591938,0.954816011,0.87,7.369450485,7.545164718,3.650301456,2.7227,15.73535,0.085,3.3163499760374844,-2.566296663847171,Europe,83830972
DJI,Djibouti,Low,AS,171.0,85.37647058823529,0.496,62.1908,6.83004,4.07,4561.666499,0.9434035087719298,0.6963175670818713,0.7322000286257311,0.5893892617449664,19.165590558013427,19.56945129791275,28.57972527,18.85385136647619,27.74495175,0.3652130177514793,-0.4989535476961295,3.2671619030910817,Africa,990447
DMA,Dominica,High,LAC,102.0,85.37647058823529,0.709,70.1284,13.22396751,8.017922938,12361.6883,0.9434035087719298,0.6963175670818713,0.7322000286257311,0.5893892617449664,19.165590558013427,19.56945129791275,18.54019547,18.85385136647619,23.437117493129872,0.3652130177514793,-0.3341842447620509,0.2725176120647687,North America,72017
DNK,Denmark,Very High,,6.0,1.0,0.943,80.8803,19.06605911,13.16281986,55471.41408,0.979,0.932514657,0.952233375,0.882,6.399576271,6.468716861,3.422578812,4.29257,11.48358,0.034,3.8804512359016714,-2.3582125118720483,Europe,5795780
DOM,Dominican Republic,High,LAC,80.0,106.0,0.755,72.9867,14.14081955,9.044050217,15462.20861,1.001,0.753714541,0.75327822,0.586,22.1544743,22.38410596,18.44406891,17.64944,30.369914,0.457,-0.475169408860135,-0.6622542485554034,North America,10866667
DZA,Algeria,High,AS,91.0,126.0,0.743,75.7318,14.47958809,7.877038634,11707.07707,0.871,0.675547619,0.775859148,0.592,19.64391303,20.3230148,13.87853909,33.68956,11.36364,0.428,1.211148404014721,1.514091545109704,Africa,43984569
ECU,Ecuador,High,LAC,95.0,85.0,0.762,76.7634,15.07669004,8.692919731,11334.76401,0.964,0.745508512,0.773233117,0.621,18.0095579,18.50393701,10.14942169,13.5816,30.297652,0.376,-0.058675135312951,-1.2047786275255168,South America,17688599
EGY,Egypt,High,AS,97.0,109.0,0.713,70.8435,13.12530041,8.806776914,10646.46932,0.91,0.669983578,0.736316073,0.503,28.67566411,29.45301543,12.58108234,36.94291,36.503,0.443,-1.9142044503716509,-0.7585330284281223,Africa,102659126
ERI,Eritrea,Low,SSA,176.0,85.37647058823529,0.488,66.2893,8.042153255,4.75409968,1707.304054,0.9434035087719298,0.6963175670818713,0.7322000286257311,0.5893892617449664,19.165590558013427,19.56945129791275,22.81713104,18.85385136647619,23.437117493129872,0.3652130177514793,-0.3397399276148537,2.39959136472175,Africa,3554797
ESP,Spain,Very High,,27.0,14.0,0.895,83.0411,17.54027939,10.01107979,38616.27705,0.985,0.887056218,0.900411176,0.761,14.5680795,14.97206704,2.990808487,18.56616,22.14727,0.07,1.7194530972936628,-2.61522267318236,Europe,46757980
EST,Estonia,Very High,,31.0,28.0,0.885,77.8201,16.06361961,13.51035023,31594.42466,1.025,0.89409419,0.871901351,0.809,8.280842212,8.587570621,3.796676636,2.31246,18.73339,0.126,2.4974623391083743,-1.8048909573457763,Europe,1326693
ETH,Ethiopia,Low,SSA,175.0,129.0,0.47,64.3919,9.096271752,2.681135178,1888.608252,0.9,0.444805129,0.494285555,0.334,27.91344132,28.93617021,26.88319397,43.50563,13.3515,0.53,-2.262577701456953,3.777964247948752,Africa,115434444
FIN,Finland,Very High,,11.0,6.0,0.931,81.2915,19.31543922,12.68652487,46502.46698,0.989,0.925298421,0.935364866,0.883,5.110925309,5.155746509,2.885515928,1.93747,10.50979,0.048,3.8911942057817663,-2.0707457720547024,Europe,5542237
FJI,Fiji,High,EAP,99.0,77.0,0.735,67.2395,14.53156994,10.49146872,12105.32007,0.945,0.710111792,0.751108925,0.5893892617449664,19.165590558013427,19.56945129791275,14.42942429,18.85385136647619,23.437117493129872,0.342,0.0420739615511265,-0.1068523753377431,Oceania,897573
FRA,France,Very High,,28.0,22.0,0.895,82.4372,15.52842999,11.35085964,44814.41572,0.988,0.889262749,0.899625604,0.817,8.685130547,8.715083799,3.87375164,8.59672,13.58492,0.092,2.908199404378341,-1.6535857559946183,Europe,65298930
FSM,Micronesia,Medium,EAP,134.0,85.37647058823529,0.629,71.5954,11.25026,7.64096556,3905.073744,0.9434035087719298,0.6963175670818713,0.7322000286257311,0.5893892617449664,19.165590558013427,19.56945129791275,15.40706635,18.85385136647619,26.38098943,0.3652130177514793,-0.6596405052812067,0.3237029214956596,Oceania,115231
GAB,Gabon,High,SSA,112.0,140.0,0.702,65.8025,12.75130526,9.094,14170.45668,0.904,0.663844294,0.734261253,0.548,21.95967544,21.93732194,21.98780632,23.47992,20.4113,0.555,-0.5096041230150442,0.7806896529503796,Africa,2234448
GBR,United Kingdom,Very High,,18.0,27.0,0.927,81.0747,17.41354465,13.07054679,44729.56153,0.97,0.910468879,0.938721661,0.848,8.249385787,8.522114347,3.906587362,3.74374,17.09783,0.125,2.9693078027923177,-2.3686436254168832,Europe,67948282
GEO,Georgia,Very High,ECA,63.0,66.0,0.794,73.5692,14.68717003,12.81457043,12382.40144,0.984,0.784382225,0.797084091,0.698,11.53573925,12.0906801,7.240181446,2.517036309,24.85,0.326,0.9599667174320748,-1.4650542631880097,Asia,3987805
GHA,Ghana,Medium,SSA,133.0,130.0,0.611,63.8902,11.52073956,7.919448013,4642.154745,0.929,0.588682342,0.633452756,0.436,28.56502219,28.64157119,25.45568657,34.92485,25.31453,0.55,-1.855674943923569,1.3771361482284104,Africa,31181428
GIN,Guinea,Low,SSA,182.0,157.0,0.45,58.7625,9.319611033,2.000424981,2213.959111,0.838,0.409322212,0.48817843,0.289,34.37999694,35.77777778,37.81837082,48.26536,17.05626,0.62,-3.496312027889158,3.947741552046745,Africa,13191279
GMB,Gambia,Low,SSA,174.0,153.0,0.484,63.0127,8.798298437,4.02814688,1997.610808,0.896,0.45710779,0.510082971,0.314,34.22126476,35.12396694,26.26650429,49.32129,27.076,0.621,-3.188124185447732,2.897019898201856,Africa,2427782
GNB,Guinea-Bissau,Low,SSA,177.0,159.0,0.478,59.6739,10.28394832,3.433009046,1916.35772,0.873,0.445090639,0.509581086,0.297,37.64783336,37.86610879,33.13348007,41.91002,37.9,0.632,-4.205766344362462,2.0202518851025766,Africa,1975718
