ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
MDA,Moldova,High,ECA,80.0,51.0,0.765,70.5155,14.29790974,11.8187631,12315.48679,1.015,0.770076886,0.758845868,0.706,7.575182414,7.712418301,9.529241562,2.759083599,10.43722208,0.242,2.3366144960359936,-0.0167783797570289,Europe,4032294
MDG,Madagascar,Low,SSA,173.0,143.0,0.507,65.0938,10.29355001,5.027301993,1541.173158,0.951,0.49352991,0.518976534,0.368,27.08604281,27.41617357,25.80536842,35.01448,20.43828,0.554,-2.6152035399404348,-2.1155450944192804,Africa,27808395
MDV,Maldives,High,SA,90.0,83.0,0.746,79.9429,12.57664716,6.986,16631.32167,0.934,0.713370006,0.763954611,0.59,20.19441716,20.91152815,5.417871475,29.31948,25.8459,0.346,-1.0680659951483746,1.022559716803337,Asia,542151
MEX,Mexico,High,LAC,86.0,75.0,0.775,74.1378,14.80978012,8.742489815,19209.21915,0.959,0.754938644,0.787341083,0.628,18.39496632,18.96774194,10.26971054,14.11041542,30.804773,0.336,0.0703558812199666,0.7629351358225057,North America,129166028
MHL,Marshall Islands,Medium,EAP,131.0,85.37647058823529,0.638,64.2696,10.46613272,10.88313961,4771.761214,0.943517441860465,0.7001682667383721,0.7362088890930233,0.5945646258503402,18.942870966863943,19.35102011878912,18.91902351,4.779338113,23.356497166026145,0.3558882352941176,1.180868564342063,-1.5864927267416962,Oceania,59259
MKD,North Macedonia,High,ECA,78.0,37.0,0.773,76.4766,13.58520031,9.710748672,15084.56736,0.938,0.745107715,0.794498914,0.5945646258503402,18.942870966863943,19.35102011878912,5.957654476,10.53734,23.356497166026145,0.143,0.7716588471850295,0.6847761722206475,Europe,2083359
MLI,Mali,Low,SSA,186.0,155.0,0.426,59.1322,7.461060047,2.09,2173.555623,0.849,0.386357889,0.455078958,0.283,32.44976094,33.56807512,35.81001282,46.17695,15.36232,0.676,-4.560573088950203,-3.181640748402722,Africa,20346106
MLT,Malta,Very High,,23.0,42.0,0.901,83.5867,16.10407066,11.56434488,38304.2029,0.973,0.886177282,0.911173961,0.829,7.999650344,7.991120977,4.832221031,6.69493,12.4718,0.188,2.271811775050159,2.477871038998761,Europe,441750
MMR,Myanmar,Medium,EAP,149.0,125.0,0.58,65.843,10.44658947,6.094084787,4109.517194,0.955,0.565086669,0.591682299,0.5945646258503402,18.942870966863943,19.35102011878912,23.23651314,26.85272,23.356497166026145,0.513,-1.5987848039763106,-1.8283838701031263,Asia,54473253
MNE,Montenegro,Very High,ECA,49.0,32.0,0.83,76.9388,15.02132034,11.94692704,20086.50445,0.972,0.81707365,0.840844289,0.763,8.048357986,8.072289157,3.163733959,7.36696,13.61438,0.124,2.096182943263411,1.2695697129815309,Europe,628080
MNG,Mongolia,High,EAP,96.0,76.0,0.732,70.2375,14.89244747,9.609121227,9773.631152,1.025,0.740272721,0.722250952,0.638,12.85454236,12.84153005,10.94342709,11.9202,15.7,0.326,1.1479874506202072,-0.1791927844511219,Asia,3287242
MOZ,Mozambique,Low,SSA,185.0,136.0,0.445,59.7709,9.974020004,3.064209938,1245.447702,0.912,0.425003479,0.465840667,0.296,33.26990787,33.48314607,30.88375282,40.5314308,28.39454,0.544,-3.024273006306141,-3.4816602061771182,Africa,31398811
MRT,Mauritania,Medium,SSA,158.0,161.0,0.545,65.0827,8.588339806,4.691063614,5035.931643,0.883,0.505806449,0.572996901,0.5945646258503402,18.942870966863943,19.35102011878912,27.99240303,40.78516,23.356497166026145,0.625,-2.790288301056861,-2.355634350413513,Africa,4669775
MUS,Mauritius,Very High,SSA,63.0,82.0,0.805,74.8812,15.05659962,9.914224809,23536.24781,0.963,0.78622651,0.816806537,0.671,16.41972538,16.64596273,9.165211678,21.91298205,18.18098242,0.384,0.5784549006922167,1.134536873644354,Africa,1272140
MWI,Malawi,Low,SSA,169.0,142.0,0.505,62.9769,12.21168316,4.303786674,1439.504186,0.962,0.493269449,0.512623431,0.364,27.77158569,27.92079208,22.49046707,28.42429,32.4,0.576,-1.608749745556708,-2.8976147499957587,Africa,19211425
MYS,Malaysia,Very High,EAP,62.0,57.0,0.805,75.4763,13.67864037,10.45936012,25910.44685,0.977,0.79483572,0.813242315,0.5945646258503402,18.942870966863943,19.35102011878912,6.039265633,12.06360206,23.356497166026145,0.242,0.91136419596121,1.0436963964343966,Asia,32436963
NAM,Namibia,Medium,SSA,139.0,111.0,0.635,62.2931,11.8721425,7.089123245,9987.117622,1.003,0.634990695,0.633221064,0.411,33.51272021,35.27559055,21.93691063,25.01567,53.58558,0.449,0.7740198614822243,-4.019962289453125,Africa,2548663
NER,Niger,Low,SSA,189.0,153.0,0.39,62.1599,6.406770229,1.960548724,1206.403432,0.826,0.352807016,0.426960047,0.28,27.67571573,28.20512821,31.62841797,34.96483,16.43389921,0.637,-4.541340786913385,-2.8974902266976263,Africa,24346468
NGA,Nigeria,Low,SSA,163.0,168.0,0.526,52.3052,9.758482316,6.697552363,5031.603971,0.861,0.486055686,0.564510153,0.335,36.05932125,36.31178707,41.92482376,38.09476,28.15838,0.67,-2.024410948398637,-4.330124841332555,Africa,206984347
NIC,Nicaragua,Medium,LAC,126.0,102.0,0.659,73.5536,12.22731048,6.912,5694.054636,0.958,0.641150331,0.668997748,0.508,22.58714507,22.91350531,11.2685976,25.79903661,30.693801,0.431,-0.9878672012077712,-0.5767308240564591,North America,6638075
NLD,Netherlands,Very High,,10.0,5.0,0.937,81.7291,18.48513031,12.25356531,55507.09027,0.964,0.919412501,0.953266484,0.873,6.818684653,6.830309498,3.463943958,4.92932,12.06279,0.029,2.610493168375349,3.369491825695291,Europe,17141544
NOR,Norway,Very High,,2.0,2.0,0.959,82.624,18.06615067,12.94715977,66403.54684,0.989,0.950114385,0.960520981,0.894,6.63516087,6.777893639,2.78721261,4.38463,12.73364,0.023,2.518660943062536,3.878321645201937,Europe,5428594
NPL,Nepal,Medium,SA,143.0,113.0,0.594,68.9099,12.75613022,4.808860316,3601.108877,0.931,0.573810154,0.616063196,0.441,24.89371332,25.75757576,17.48381996,40.881,16.31632,0.469,-2.5601270097686597,-0.7153604271536746,Asia,29225196
NRU,Nauru,,EAP,95.81151832460732,85.37647058823529,0.7195473684210526,62.988,11.27192088,8.747069302510525,18174.49788,0.943517441860465,0.7001682667383721,0.7362088890930233,0.5945646258503402,18.942870966863943,19.35102011878912,14.99882126,18.64913996358333,23.356497166026145,0.3558882352941176,0.209072288999358,-1.2250516977891102,Oceania,10836
NZL,New Zealand,Very High,,13.0,25.0,0.935,82.2189,18.83856964,13.2373023,40700.46491,0.966,0.916870635,0.949472122,0.863,7.433019274,7.700534759,4.009527683,1.840131778,16.44939836,0.112,2.879298045354588,2.8571038074260064,Oceania,4829021
